state,people,area,density
Macau (China),686607,33,20806.27273
Monaco,36686,2,18343
Singapore,5453600,716,7616.759777
Hong Kong (China),7494578,1104,6788.567029
Gibraltar (BOT),32669,6,5444.833333
Bahrain,1463265,785,1864.031847
Maldives,521457,300,1738.19
Malta,526748,316,1666.924051
Sint Maarten (Netherlands),44042,34,1295.352941
Bermuda (BOT),64185,53,1211.037736
Bangladesh,169356251,148460,1140.753408
Guernsey (Crown Dependency),63065,63,1001.031746
Jersey (Crown Dependency),109618,116,944.9827586
Palestine,5133392,6020,852.7229236
Mayotte (France),316014,374,844.9572193
Barbados,281200,430,653.9534884
Lebanon,5592631,10452,535.0775928
Saint Martin (France),31948,54,591.6296296
Taiwan [note 2],23859912,36193,659.2410687
Mauritius,1298915,1969,659.68258
Aruba (Netherlands),106537,180,591.8722222
San Marino,33745,61,553.1967213
South Korea,51830139,100148,517.5354376
Nauru,12511,21,595.7619048
Rwanda,13461888,26338,511.1203584
Netherlands,17501696,33670,519.800891
Tuvalu,11204,26,430.9230769
Israel,8900059,22072,403.2284795
India,1407563842,3287263,428.1871703
Burundi,12551213,27834,450.9309837
Haiti,11447569,27750,412.525009
Saint Barthlemy (France),10861,25,434.44
Belgium,11611419,30528,380.3530857
Comoros,821625,2235,367.6174497
Curaao (Netherlands),190338,444,428.6891892
Philippines,113880328,300000,379.6010933
Runion (France),966129,2513,384.4524473
Puerto Rico (US),3256028,8870,367.0832018
Saint Lucia,179651,539,333.3042672
Japan,124612530,377930,329.7238377
Martinique (France),368796,1128,326.9468085
Grenada,124610,344,362.2383721
Sri Lanka,21773441,65610,331.8616217
Marshall Islands [note 3],42050,181,232.320442
El Salvador,6314167,21041,300.0887315
Guam (US),170534,549,310.6265938
U.S. Virgin Islands (US),100091,347,288.4466859
Vietnam,97468029,330957,294.5036032
Saint Vincent and the Grenadines,104332,389,268.2056555
American Samoa (US),45035,199,226.3065327
United Kingdom,67281039,242495,277.4533042
Trinidad and Tobago,1525663,5130,297.4001949
Jamaica,2827695,10991,257.2736785
Cayman Islands (BOT),68136,264,258.0909091
Pakistan,231402117,881913,262.3865585
Qatar,2688235,11607,231.6046351
Liechtenstein,39039,160,243.99375
Guadeloupe (France),396051,1705,232.2879765
Luxembourg,639321,2586,247.2238979
Germany,83408554,357137,233.5477814
Kuwait,4250114,17818,238.5292401
Dominican Republic,11117873,48192,230.6995559
So Tom and Prncipe,223107,964,231.4387967
Antigua and Barbuda,93219,442,210.9027149
Seychelles,106471,456,233.4890351
Nigeria,213401323,923768,231.0118157
North Korea,25971909,120538,215.4665666
Switzerland,8691406,41285,210.5221267
Gambia,2639916,11295,233.7243028
Italy,59240329,301339,196.5903152
Saint Kitts and Nevis,47606,261,182.3984674
British Virgin Islands (BOT),31122,151,206.1059603
Nepal,30034989,147181,204.0683852
Uganda,45853778,241550,189.8314138
Kosovo,1935259,10887,177.758703
Andorra,79034,468,168.8760684
Anguilla (BOT),15753,91,173.1098901
Micronesia [note 4],534606,702,761.5470085
Kiribati,128874,726,177.5123967
Guatemala,17608483,108889,161.7103932
Malawi,19889742,118484,167.8685899
Sint Eustatius (Netherlands),3242,21,154.3809524
Saba (Netherlands),1911,13,147
China,1425893465,9596961,148.5776034
Isle of Man (Crown Dependency),84263,572,147.3129371
Indonesia,273753191,1910931,143.2564499
Togo,8644829,56785,152.2378973
Tonga,106017,747,141.9236948
Czech Republic,10510751,78866,133.2735399
Thailand,71601103,513120,139.5406591
Cape Verde,587925,4033,145.7785767
Denmark,5854240,43094,135.8481459
Cyprus [note 5],1244188,9251,134.4922711
Ghana,32833031,238533,137.6456549
Northern Mariana Islands (US),49481,457,108.273523
Poland,38307726,311888,122.8252642
Moldova,3061506,33846,90.45399752
France,64531444,551500,117.0107779
Azerbaijan,10312992,86600,119.0876674
United Arab Emirates,9365145,83600,112.0232656
Jordan,11148278,89328,124.8016076
Portugal,10290103,92212,111.5917993
Slovakia,5447622,49036,111.0943389
Tokelau (NZ),1849,12,154.0833333
Austria,8922082,83871,106.3786291
Sierra Leone,8420641,72300,116.4680636
Turkey,84775404,783562,108.192337
Hungary,9709786,93026,104.3771204
Cuba,11256372,109884,102.4386808
Slovenia,2119410,20273,104.5434815
Albania,2854710,28748,99.30116878
Northern Cyprus [note 6],382836,3355,114.1090909
Benin,12996895,114763,113.2498715
Serbia,7296769,88361,82.57906769
Armenia,2790974,29743,93.83633124
Ethiopia,120283026,1104300,108.9224178
Egypt,109262178,1002000,109.0440898
Costa Rica,5153957,51100,100.8602153
Dominica,72412,751,96.4207723
Malaysia,33573874,330803,101.4920481
Spain,47486935,505992,93.84918141
Syria,21324367,185180,115.1548061
Cambodia,16589023,181035,91.63434143
Iraq,43533592,435244,100.0211192
Kenya,53005614,591958,89.54286284
Honduras,10278345,112492,91.36956406
East Timor,1320942,14919,88.54092097
Wallis and Futuna (France),11627,142,81.88028169
Romania,19328560,238391,81.07923537
North Macedonia,2103330,25713,81.80025668
Morocco,37076584,446550,83.02896428
Senegal,16876720,196712,85.79405425
Greece,10445365,131957,79.15733913
Myanmar,53798084,676578,79.51497684
Ivory Coast,27478249,322463,85.21364932
Brunei,445373,5765,77.25464007
Cook Islands [note 7],17003,236,72.04661017
Transnistria [note 8],347251,4163,83.41364401
Croatia,4060135,56594,71.74143902
Ukraine [note 9],43531422,603500,72.13160232
Uzbekistan,34081449,447400,76.17668529
Burkina Faso,22100683,272967,80.96466972
Tunisia,12262946,163610,74.9523012
French Polynesia (France),304032,4000,76.008
Lesotho,2281454,30355,75.15908417
Ireland,4986526,69825,71.41462227
Samoa,218764,2842,76.97536946
Ecuador,17797737,256369,69.42234436
Eswatini,1192271,17363,68.66733859
Bosnia and Herzegovina,3270943,51209,63.87437755
Bonaire (Netherlands),22573,294,76.77891156
Mexico,126705138,1964375,64.501502
Bulgaria,6885868,110912,62.08406665
Tajikistan,9750064,143100,68.13461915
Tanzania,63588334,947303,67.12565462
Georgia,3688647,69700,52.92176471
Afghanistan,40099462,652864,61.42085028
Panama,4351267,75417,57.696103
Yemen,32981641,527968,62.46901517
Cameroon,27198628,475650,57.18202039
Guinea-Bissau,2060721,36125,57.04417993
Guinea,13531906,245857,55.03974261
Iran,87923432,1628750,53.98215318
Nicaragua,6850540,130373,52.54569581
Norfolk Island (Australia),2188,36,60.77777778
Montserrat (BOT),4417,103,42.88349515
Fiji,926276,18272,50.69373905
Artsakh [note 10],120000,3170,37.85488959
South Africa,59392255,1221037,48.64083152
Equatorial Guinea,1634466,28051,58.26765534
Belarus,9578167,207600,46.13760597
Montenegro,627859,13812,45.45750072
Madagascar,28915653,587295,49.23531275
Colombia,51516562,1141748,45.12078147
Liberia,5193416,111369,46.63250994
Lithuania,2786651,65300,42.67459418
Djibouti,1105557,23200,47.65331897
Turks and Caicos Islands (BOT),45114,948,47.58860759
Cocos (Keeling) Islands (Australia),544,14,38.85714286
Palau [note 11],18024,459,39.26797386
Zimbabwe,15993524,390757,40.92959051
Mozambique,32077072,801590,40.0168066
DR Congo,95894118,2344858,40.89549047
Faroe Islands (Denmark),52889,1393,37.96769562
United States,336997624,9629091,34.9978647
Kyrgyzstan,6527743,199949,32.64704
Venezuela,28199867,912050,30.91921167
Laos,7425057,236800,31.35581503
Latvia,1873919,64562,29.02510765
Eritrea,3620312,117600,30.78496599
Estonia,1328701,45227,29.37849072
Bahamas,407906,13943,29.25525353
Angola,34503774,1246700,27.67608406
Brazil,214326223,8514877,25.17079495
Chile,19493184,756102,25.78115651
Peru,33715471,1285216,26.23331098
Saint Pierre and Miquelon (France),5883,242,24.30991736
Vanuatu,319137,12189,26.18237755
Somalia,17065581,637657,26.76294779
Zambia,19473125,752612,25.87405595
Solomon Islands,707851,28896,24.49650471
Sudan,45657202,1861484,24.52731369
Sweden,10467097,450295,23.24497718
Bhutan,777486,38394,20.25019534
South Sudan,10748272,644329,16.68134136
Uruguay,3426260,176215,19.4436342
Papua New Guinea,9949437,462840,21.49649339
Algeria,44177969,2381741,18.54860331
Niger,25252722,1267000,19.93111444
New Zealand,5129727,270467,18.96618441
Paraguay,6703799,406752,16.48129327
Belize,400031,22966,17.41840111
Norway,5403021,323787,16.68696087
Finland,5535992,336852,16.43449349
Argentina,45276780,2780400,16.28426845
Saudi Arabia,35950396,2149690,16.72352572
Oman,4520471,309500,14.60572213
Congo,5835806,342000,17.06376023
Mali,21904983,1240192,17.66257402
New Caledonia (France),271407,18575,14.61141319
Christmas Island (Australia),1843,135,13.65185185
Turkmenistan,6341855,488100,12.99294202
Chad,16244513,1284000,12.65148988
Bolivia,12079472,1098581,10.99552241
Pitcairn Islands (BOT),47,5,9.4
Central African Republic,5457154,622984,8.759701694
Gabon,2341179,267668,8.74657785
Russia [note 12],145102755,17098246,8.486411706
Niue [note 13],1937,260,7.45
Kazakhstan,19196465,2724900,7.044832838
Mauritania,4614974,1030700,4.477514311
Botswana,2588423,582000,4.447462199
Canada,38155012,9093507,4.195852271
Libya,6735277,1759540,3.827862396
Guyana,804567,214969,3.74271174
Suriname,612985,163820,3.741820291
Iceland,370335,103000,3.595485437
French Guiana (France),297449,83534,3.560813561
Australia,25921089,7692024,3.369865851
Namibia,2530151,824268,3.069573246
Mongolia,3347782,1564116,2.140366827
Western Sahara [note 14],565581,266000,2.126244361
Falkland Islands (BOT),3764,12173,0.309208905
Svalbard and Jan Mayen (Norway),2939,62422,0.047082759
Greenland (Denmark),56243,2166086,0.025965266
